App / File Path,Line Number,Control Type,Button Label / Text,Callback Status,Completed [ ]
src\frontend\admin_dashboard.py,147,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\admin_dashboard.py,154,TextButton,Cancel,OK,
src\frontend\admin_dashboard.py,155,ElevatedButton,Create Service Request,OK,
src\frontend\admin_dashboard.py,197,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\admin_dashboard.py,203,TextButton,Cancel,OK,
src\frontend\admin_dashboard.py,390,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\admin_dashboard.py,423,IconButton,Pick Date,OK,
src\frontend\admin_dashboard.py,447,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\admin_dashboard.py,460,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\admin_dashboard.py,495,IconButton,Switch to Compact List View,OK,
src\frontend\admin_dashboard.py,548,ElevatedButton,+ New Service Request,OK,
src\frontend\admin_dashboard.py,554,ElevatedButton,+ New Project,OK,
src\frontend\admin_dashboard.py,561,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\admin_dashboard.py,570,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\admin_dashboard.py,634,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\admin_dashboard.py,638,ElevatedButton,Save / Update User,OK,
src\frontend\admin_dashboard.py,682,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\admin_dashboard.py,699,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\calendar_component.py,141,Container,<f-string>,OK,
src\frontend\calendar_component.py,163,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\calendar_component.py,178,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\calendar_component.py,213,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\calendar_component.py,229,Container,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\calendar_component.py,239,Container,<N/A or Dynamic>,OK,
