App / File Path,Line Number,Control Type,Button Label / Text,Callback Status,Completed [ ]
src\frontend\admin_dashboard.py,495,IconButton,Switch to Compact List View,OK,
src\frontend\admin_dashboard.py,548,ElevatedButton,+ New Service Request,OK,
src\frontend\admin_dashboard.py,554,ElevatedButton,+ New Project,OK,
src\frontend\admin_dashboard.py,423,IconButton,Pick Date,OK,
src\frontend\admin_dashboard.py,154,TextButton,Cancel,OK,
src\frontend\admin_dashboard.py,155,ElevatedButton,Create Service Request,OK,
src\frontend\admin_dashboard.py,203,TextButton,Cancel,OK,
src\frontend\admin_dashboard.py,638,ElevatedButton,Save / Update User,OK,
src\frontend\calendar_component.py,325,ElevatedButton,Month View,OK,
src\frontend\calendar_component.py,326,OutlinedButton,Agenda View,OK,
src\frontend\calendar_component.py,327,OutlinedButton,Technician View,OK,
src\frontend\calendar_component.py,141,Container,<N/A or Dynamic>,OK,
src\frontend\calendar_component.py,239,Container,<N/A or Dynamic>,OK,
src\frontend\calendar_component.py,331,IconButton,<N/A or Dynamic>,OK,
src\frontend\calendar_component.py,333,IconButton,<N/A or Dynamic>,OK,
src\frontend\cards_component.py,493,Container,<N/A or Dynamic>,OK,
src\frontend\cards_component.py,533,Container,<N/A or Dynamic>,OK,
src\frontend\cards_component.py,578,Container,<N/A or Dynamic>,OK,
src\frontend\cards_component.py,168,Container,<N/A or Dynamic>,OK,
src\frontend\cards_component.py,227,Container,<N/A or Dynamic>,OK,
src\frontend\cards_component.py,398,OutlinedButton,📂 Drive Folder,OK,
src\frontend\cards_component.py,405,OutlinedButton,✏️ Full Details,OK,
src\frontend\cards_component.py,418,ElevatedButton,⚡ Assign & Dispatch,OK,
src\frontend\cards_component.py,435,OutlinedButton,📂 Drive Folder,OK,
src\frontend\cards_component.py,441,ElevatedButton,✏️ Edit Ticket,OK,
src\frontend\cards_component.py,457,OutlinedButton,📂 Drive,OK,
src\frontend\cards_component.py,463,ElevatedButton,Open Briefing ➔,OK,
src\frontend\cards_component.py,206,ElevatedButton,+ Service Request,OK,
src\frontend\cards_component.py,479,ElevatedButton,Review Registration Data ➔,OK,
src\frontend\cards_component.py,191,OutlinedButton,Drive,OK,
src\frontend\cards_component.py,197,OutlinedButton,Edit,OK,
src\frontend\cards_component.py,255,ElevatedButton,+ Service Request,OK,
src\frontend\cards_component.py,261,IconButton,Open Drive Folder,OK,
src\frontend\cards_component.py,267,IconButton,Edit Project Details,OK,
src\frontend\desktop_sandbox.py,76,IconButton,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\desktop_sandbox.py,78,IconButton,<N/A or Dynamic>,MISSING CALLBACK,
src\frontend\desktop_sandbox.py,136,ElevatedButton,ENTER,MISSING CALLBACK,
src\frontend\details_component.py,418,TextButton,Close,OK,
src\frontend\details_component.py,419,ElevatedButton,Save Project Edits,OK,
src\frontend\details_component.py,731,TextButton,Cancel,OK,
src\frontend\details_component.py,732,ElevatedButton,Save Ticket Details,OK,
src\frontend\details_component.py,263,OutlinedButton,Open File 🔗,OK,
src\frontend\details_component.py,700,IconButton,Pick Date,OK,
src\frontend\details_component.py,717,IconButton,Pick Scheduled Date,OK,
src\frontend\details_component.py,397,ElevatedButton,Save Asset to Site,OK,
src\frontend\forms_component.py,304,ElevatedButton,➕ Register & Save Asset,OK,
src\frontend\forms_component.py,249,ElevatedButton,Create Project,OK,
src\frontend\forms_component.py,440,TextButton,<- Back to Briefing,OK,
src\frontend\forms_component.py,447,IconButton,<N/A or Dynamic>,OK,
src\frontend\forms_component.py,519,ElevatedButton,Save Catalog Part,OK,
src\frontend\forms_component.py,592,ElevatedButton,Save Manufacturer,OK,
src\frontend\forms_component.py,651,ElevatedButton,Register Vehicle,OK,
src\frontend\forms_component.py,822,ElevatedButton,Submit Service Request,OK,
src\frontend\forms_component.py,336,ElevatedButton,Proceed to Briefing ➔,OK,
src\frontend\forms_component.py,239,ElevatedButton,Upload Project Photo,OK,
src\frontend\forms_component.py,243,ElevatedButton,Upload Project Docs,OK,
src\frontend\form_sandbox.py,152,ElevatedButton,Submit Field Report,OK,
src\frontend\form_sandbox.py,168,Container,<N/A or Dynamic>,OK,
src\frontend\form_sandbox.py,169,Container,<N/A or Dynamic>,OK,
src\frontend\mobile_suite.py,493,FloatingActionButton,Refresh Assigned Feed,OK,
src\frontend\mobile_suite.py,288,TextButton,<- Back to Dispatch Briefing,OK,
src\frontend\mobile_suite.py,464,TextButton,<- Back to Assigned Feed,OK,
src\frontend\mobile_suite.py,592,IconButton,Refresh Feed,OK,
src\frontend\mobile_suite.py,217,ElevatedButton,Save Changes,OK,
src\frontend\mobile_suite.py,267,OutlinedButton,Edit Details ✏️,OK,
